year;countryName;deaths;intervaldeath;injuries;intervalinjuries;damagemillionsdollars;intervaldamagemillionsdollars;depth;intervaldepth;magnitude;intervalmagnitude;temperature;intervaltemperature;sealevelrise;intervalsealevelrise;co2emissions;intervalco2;povertylevel;intervalpovertylevel;populationdensity;intervalpopulationdensity;intensity;sismicscore
1993;United States of America;;Not specified;;Not specified;;Not specified;8.56;Not specified;5.36;5-6;;Not specified;-34.61;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1993;Afghanistan;;Not specified;;Not specified;;Not specified;112.6;Not specified;6.25;6-7;;Not specified;-34.61;<0;1340;0-500000;;Not specified;21.4706;0-100;;5.9427993751267
1993;Ethiopia;;Not specified;;Not specified;;Not specified;10;Not specified;5.38;5-6;;Not specified;-34.61;<0;1940;0-500000;;Not specified;53.7917;0-100;;4.00733318523247
1993;Indonesia;;Not specified;;Not specified;;Not specified;24;Not specified;5.2;5-6;;Not specified;-34.61;<0;185090;0-500000;20.2;20-35;105.84;100-200;;7.31455283232408
1993;Papua New Guinea;;Not specified;;Not specified;;Not specified;29.5;Not specified;5.79;5-6;;Not specified;-34.61;<0;2210;0-500000;;Not specified;9.47663;0-100;;7.22766249872865
1994;Peru;;Not specified;;Not specified;;Not specified;33;Not specified;5.2;5-6;;Not specified;-30.95;<0;22540;0-500000;;Not specified;18.7369;0-100;;6.35957386867238
1994;United States of America;;Not specified;;Not specified;;Not specified;0.607;Not specified;5.06;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1994;Turkey;;Not specified;;Not specified;;Not specified;5;Not specified;5.55;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.02344759296103
1994;United States of America;;Not specified;;Not specified;;Not specified;5.395;Not specified;5.2;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1994;United States of America;;Not specified;;Not specified;;Not specified;5.317;Not specified;5.89;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1994;Indonesia;;Not specified;;Not specified;;Not specified;102;Not specified;5.1;5-6;;Not specified;-30.95;<0;199180;0-500000;;Not specified;107.602;100-200;;7.31455283232408
1994;China;;Not specified;;Not specified;;Not specified;27.5;Not specified;5.63;5-6;;Not specified;-30.95;<0;2767670;2000000-3000000;;Not specified;126.95;100-200;;7.37337430991005
1994;Myanmar;;Not specified;;Not specified;;Not specified;9.9;Not specified;6.1;6-7;;Not specified;-30.95;<0;5650;0-500000;;Not specified;64.7812;0-100;;5.51745289646471
1994;Peru;;Not specified;;Not specified;;Not specified;596;Not specified;6.66;6-7;;Not specified;-30.95;<0;22540;0-500000;;Not specified;18.7369;0-100;;6.35957386867238
1994;Papua New Guinea;;Not specified;;Not specified;;Not specified;194;Not specified;5.29;5-6;;Not specified;-30.95;<0;2060;0-500000;;Not specified;9.83018;0-100;;7.22766249872865
1994;China;;Not specified;;Not specified;;Not specified;33;Not specified;5.29;5-6;;Not specified;-30.95;<0;2767670;2000000-3000000;;Not specified;126.95;100-200;;7.37337430991005
1994;Indonesia;;Not specified;;Not specified;;Not specified;33;Not specified;5.29;5-6;;Not specified;-30.95;<0;199180;0-500000;;Not specified;107.602;100-200;;7.31455283232408
1994;Indonesia;;Not specified;;Not specified;;Not specified;33;Not specified;5.5;5-6;;Not specified;-30.95;<0;199180;0-500000;;Not specified;107.602;100-200;;7.31455283232408
1994;Philippines;;Not specified;;Not specified;;Not specified;61.8;Not specified;5.29;5-6;;Not specified;-30.95;<0;51510;0-500000;;Not specified;226.885;200-300;;6.23832462503951
1994;Tajikistan;;Not specified;;Not specified;;Not specified;33;Not specified;5.2;5-6;;Not specified;-30.95;<0;3040;0-500000;;Not specified;41.4689;0-100;;4.97673374242057
1994;New Zealand;;Not specified;;Not specified;;Not specified;181;Not specified;5.2;5-6;;Not specified;-30.95;<0;24230;0-500000;;Not specified;13.7481;0-100;;5.65948221575962
1994;Chile;;Not specified;;Not specified;;Not specified;67.2;Not specified;5.29;5-6;;Not specified;-30.95;<0;35640;0-500000;2.4;2-5;19.1124;0-100;;6.85646198459459
1994;Indonesia;;Not specified;;Not specified;;Not specified;235.9;Not specified;5.1;5-6;;Not specified;-30.95;<0;199180;0-500000;;Not specified;107.602;100-200;;7.31455283232408
1994;Myanmar;;Not specified;;Not specified;;Not specified;14;Not specified;5.95;5-6;;Not specified;-30.95;<0;5650;0-500000;;Not specified;64.7812;0-100;;5.51745289646471
1994;Indonesia;;Not specified;;Not specified;;Not specified;153.4;Not specified;6.1;6-7;;Not specified;-30.95;<0;199180;0-500000;;Not specified;107.602;100-200;;7.31455283232408
1994;Syria;;Not specified;;Not specified;;Not specified;28.8;Not specified;5.55;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;1.38629436111989
1994;Costa Rica;;Not specified;;Not specified;;Not specified;33;Not specified;5.1;5-6;;Not specified;-30.95;<0;4850;0-500000;3.7;2-5;68.3344;0-100;;4.56434819146784
1994;China;;Not specified;;Not specified;;Not specified;33;Not specified;5.38;5-6;;Not specified;-30.95;<0;2767670;2000000-3000000;;Not specified;126.95;100-200;;7.37337430991005
1994;Japan;;Not specified;;Not specified;;Not specified;75.8;Not specified;5.29;5-6;;Not specified;-30.95;<0;1160780;1000000-2000000;;Not specified;343.33;300-500;;6.56103066589657
1994;Papua New Guinea;;Not specified;;Not specified;;Not specified;33;Not specified;5.63;5-6;;Not specified;-30.95;<0;2060;0-500000;;Not specified;9.83018;0-100;;7.22766249872865
1994;China;;Not specified;;Not specified;;Not specified;33;Not specified;5.29;5-6;;Not specified;-30.95;<0;2767670;2000000-3000000;;Not specified;126.95;100-200;;7.37337430991005
1994;China;;Not specified;;Not specified;;Not specified;33;Not specified;5.5;5-6;;Not specified;-30.95;<0;2767670;2000000-3000000;;Not specified;126.95;100-200;;7.37337430991005
1994;Iran;;Not specified;;Not specified;;Not specified;10;Not specified;5.71;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;Mexico;;Not specified;;Not specified;;Not specified;97.2;Not specified;5.71;5-6;;Not specified;-30.95;<0;326500;0-500000;2.3;2-5;45.4304;0-100;;6.02344759296103
1994;Iran;;Not specified;;Not specified;;Not specified;9.4;Not specified;6.1;6-7;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;New Zealand;;Not specified;;Not specified;;Not specified;82.8;Not specified;5.2;5-6;;Not specified;-30.95;<0;24230;0-500000;;Not specified;13.7481;0-100;;5.65948221575962
1994;Iran;;Not specified;;Not specified;;Not specified;53.9;Not specified;5.55;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;Philippines;;Not specified;;Not specified;;Not specified;40.3;Not specified;5.95;5-6;;Not specified;-30.95;<0;51510;0-500000;;Not specified;226.885;200-300;;6.23832462503951
1994;Iran;;Not specified;;Not specified;;Not specified;33;Not specified;5.29;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;36.6877;0-100;;6.56807791141198
1994;Indonesia;;Not specified;;Not specified;;Not specified;33;Not specified;5.1;5-6;;Not specified;-30.95;<0;199180;0-500000;;Not specified;107.602;100-200;;7.31455283232408
1994;Mexico;;Not specified;;Not specified;;Not specified;5.094;Not specified;5.27;5-6;;Not specified;-30.95;<0;326500;0-500000;2.3;2-5;45.4304;0-100;;6.02344759296103
1994;Argentina;;Not specified;;Not specified;;Not specified;561.5;Not specified;6.66;6-7;;Not specified;-30.95;<0;111910;0-500000;1.4;0-2;12.6023;0-100;;6.12905021006055
1994;Russia;;Not specified;;Not specified;;Not specified;17.5;Not specified;5.55;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.12249280951439
1994;United States of America;;Not specified;;Not specified;;Not specified;48.9;Not specified;5.55;5-6;;Not specified;-30.95;<0;;Not specified;;Not specified;;Not specified;;6.52209279817015
1994;Philippines;;Not specified;;Not specified;;Not specified;33;Not specified;5.95;5-6;;Not specified;-30.95;<0;51510;0-500000;;Not specified;226.885;200-300;;6.23832462503951
1994;Ecuador;;Not specified;;Not specified;;Not specified;18.8;Not specified;5.3;5-6;;Not specified;-30.95;<0;18800;0-500000;7.7;5-10;40.9899;0-100;;5.11198778835654
1994;Philippines;;Not specified;;Not specified;;Not specified;70.1;Not specified;5.7;5-6;;Not specified;-30.95;<0;51510;0-500000;;Not specified;226.885;200-300;;6.23832462503951
